Tools	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276520	1	OK	0.7159844	0.5190288	0.4247098	-0.1938995	-9.568	7.730	-386.028	0.0602202	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276528	1	OK	0.7168977	0.5180908	0.4265719	-0.1888809	-9.375	7.965	-385.713	0.0887646	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276536	1	OK	0.7176355	0.5143577	0.4304409	-0.1874994	-8.395	7.999	-385.138	0.0939082	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276544	1	OK	0.7181821	0.5093086	0.4354584	-0.1876036	-7.482	8.110	-384.269	0.0672244	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276552	1	OK	0.7198302	0.5088062	0.4359135	-0.1814941	-6.472	8.472	-383.901	0.0937108	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276560	1	OK	0.7213398	0.5081430	0.4368323	-0.1750344	-5.170	9.043	-384.512	0.0691703	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276568	1	OK	0.7221761	0.5063148	0.4393045	-0.1706414	-4.228	9.387	-385.214	0.0701098	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276576	1	OK	0.7217764	0.5047067	0.4431559	-0.1671014	-4.049	9.902	-385.378	0.0927236	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276584	1	OK	0.7212639	0.5028590	0.4467998	-0.1651701	-4.701	10.216	-386.291	0.0514329	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276592	1	OK	0.7218532	0.5021146	0.4482701	-0.1608192	-5.014	10.332	-387.277	0.0964559	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276600	1	OK	0.7219783	0.4986282	0.4526245	-0.1588972	-4.829	10.384	-388.249	0.1047091	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276608	1	OK	0.7218000	0.4961232	0.4566324	-0.1560554	-4.717	10.608	-389.164	0.0770581	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276616	1	OK	0.7213881	0.4945456	0.4598210	-0.1535855	-5.494	10.632	-389.687	0.0688014	0
